premise,hypothesis,label
"Boy wearing red hat, blue jacket pushing plow in snow.",The boy is surrounded by snow,0
A blond woman in a black shirt is standing behind a counter.,The woman is standing.,1
Three people in uniform are outdoors and are observing a scene which is out of the picture.,Uniformed people are outside,1
"A person, in a striped blue shirt and pants, is running along.",The person is running,0
"A man, woman, and child get their picture taken in front of the mountains.",A family on vacation is posing.,1
A tennis player in blue shorts and a white shirt making an aggressive backhand swing towards the tennis ball.,The person is taking a nap in their bed.,0
A boy looks on at an electric device with three batteries inside of it and wires all around.,A boy is taking a nap in his bed.,0
A young girl is standing in a kitchen holding a green bib.,A boy is playing with a firetruck.,0
"Three men in yellow green safety vests sit on a bench yawning, smoking and having a break.",People are playing volleyball on the sand.,1
man dressed in orange clothing with face covered seemingly balancing on a cane being held be a similarly dressed man sitting crossed legged on the ground at a shopping mall.,Two men are in a shopping mall.,0
A toddler is sitting at the bottom of a slide and smiling.,A child is playing.,1
A man examines a bike during a yard sale.,A woman examines a bike,1
A boy scout with a red cap is looking through a telescope,There is a boy and a telescope.,1
Family gathered together in a house enjoying each other company.,A family is out to eat at a restaurant.,0
The white dog is pulling a large stick.,The dog is pulling a stick.,0
A group of brown-haired teenagers doing laundry.,Group of teens are doing laundry.,0
Two lacrosse players are running on the sports-field.,No one who is shown has ever played a sport.,0
A man dressed in all white and wearing a white hat stands on a sidewalk next to a building.,Nobody is standing,0
"A group of people standing around smiling, and in the background are more people and handmade signs.",There is a group of people standing around and smiling.,0
A boy works on a project in shop class.,The boy peeks through a doorway at people working on their shop class project.,1
The little boy stands in the middle of birds who have gathered on the sidewalk.,There are a lot of birds outside by the sidewalk.,1
"A person in sunglasses, a scarf, a shirt, and jeans is walking outside.",A person outside,1
A man with a blue helmet and orange shirt.,A woman has a helmet on a motorcycle.,0
"Two roadside workers with lime green safety jackets, white hard hats and gloves on with construction cones in the background",Two men are wearing lime green jackets.,1
A woman in a gray shirt is looking at something.,A woman in a red shirt baking a cake.,0
An Asian young woman wearing a white shirt and black pants is holding a pink purse.,The woman has a white shirt on.,0
Three girls blow out the candles of a cake made of Peeps.,Some people are blowing out candles,1
Woman standing in a store with an item in hand.,A woman is in the store.,0
A biker wearing glass and a backpack rides near a fountain.,A biker is close to the fountain.,0
A middle-aged woman in a light brown trench coat and black boots walks on the sidewalk past a shop entrance.,The middle-aged woman is outdoors.,1
A crowd wearing orange cheering for their team in a stadium.,Fans cheering on their team at the big game.,1
Two men are fixing the side of an old brick building.,People painting in a house.,0
"There is a line of various trucks with advertising on the side parked by the side of the road, with the ""Grilled Cheese Truck ""and the ""Calbi"" truck in focus.",there are many trucks,1
A young man sitting under a tree while others walk down the street.,A young man is playing basketball.,1
A policeman is sitting in a van looking out the window.,The policeman is sitting.,0
A man is throwing something into the road.,A man paints a house.,0
An Asian man walks a three-wheeled pedal card fully of white bags.,An Asian man walks his dog on a rainy afternoon.,1
A young barefoot girl wearing a helmet walks down a mossy covered fallen down tree.,The child wearing sneakers skips down a forest path.,0
"A man is holding on to a piece of rope, sitting in an inflatable boat, in front of several other larger boats.",A man is underwater.,0
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man waits outside a garage.,0
A girl jumping high off of the sand.,There is a girl on the sand.,1
Four people wearing backpacks walking in a line along a mountain trail.,Four people are walking along a mountain trail.,0
A man is using what looks to be a fax machine.,A woman is using what looks to be a fax machine.,1
"An old man in a baseball hat and an old woman in a jean jacket are standing outside, but are covered mostly in shadow.",An old woman has no jacket.,0
two dogs run across the woods.,The canines run around in the forest.,0
A group of girls in black and white spotted skirts cross a street.,A group of girls are sitting on a bench.,0
A dark-skinned man in white shirts and a black sleeveless shirt flips his skateboard on a cement surface surrounded by tall buildings and palm trees.,a man flips his skateboard on a cement surface,0
A bare-chested man fitting his head and arm into a toilet seat ring while spectators watch in a city.,"A gentleman with no chest hair, wrangles his way through a toilet seat.",0
A gymnast is seen defying gravity as she performs an impressive move several feet above the parallel bars.,the gymnast is a woman,1
A man is looking at the camera posing for a photo with his arm around a woman who is looking away.,A man is looking at the camera for a photo with his arm around a lady who is looking away.,0
Female gymnasts warm up before a competition.,Gymnasts get ready for a competition.,1
The African American man protests against unlawful sex.,The man sings and dances in the park.,0
A woman cook in an apron is smiling at the camera with two other cooks in the background.,A woman looking at the camera.,0
"A man on a bike, with the sun beating down in the background, just launched off of a dirt ramp and is coming back down.",Cyclists competing in the Tour de France.,1
"A person with blue hair, a baseball cap, and a hood on stands outdoors in a crowd.",A person is standing outdoors.,1
"Two soccer players try to take possession of the ball, but the player in yellow falls as the player in white jumps over him.",the players are asleep,0
A rescue worker searches with a flashlight under a slab in a ruined building.,A survivor searches for a meal.,0
Two people using a water buffalo to cultivate a watery field.,Two people are swimming at the gym.,0
"A person just about to stand up while water-skiing, while people in the background watch and take photos.",A person is driving an airplane over the mountains.,0
Four African boys playing soccer.,Some boys are running behind a ball,1
A large black and white dog is licking a smaller white and black dog who is growling.,The dog is red,1
A man wearing protective gear grinds down a large metal object.,The man does not have any gear on.,0
"A woman with a blond ponytail and a white hat is riding a white horse, inside a fence with a horned cow.",The woman is riding a horse.,0
A performance group is staged in one collective motion.,The group is separate from one another.,0
A young woman wearing jeans and a gray sweater walks across an empty street.,A woman is walking.,1
There is a group of children getting their picture taken with presents.,Children opening presents.,0
A black man wearing a red belt and a white man wearing a blue belt are pictured in the act of practicing martial arts inside a building with a woman looking on in the background.,The men are blackbelts.,0
Lot of people are gathered in front of a building.,People walk back inside the building.,0
A biker races.,A person is riding a bike,0
A boy rides his skateboard at the park.,A girl rides his skateboard at the park.,0
Men wearing blue uniforms sit on a bus.,Men drive the bus into the ocean.,0
A wakeboarder.,A person with a wakeboard.,1
"A man wearing a black cap is suspended in the air on a swing, as children are swinging on a swing set.",The man in the black hat is sitting on a park bench watching the kids swing.,0
A boy toddler is holding a bat he is about to swing at a pinata.,A child is crying because he didn't get cake,1
"A man wearing a white shirt and a hat, riding his bike, makes an obscene gesture to the photographer",The bike rider and the photographer greeted each other warmly.,0
Female in a military uniform with her hair tied back.,the female is wearing her hair up,1
"A man in a helmet and protective gear driving a go kart, numbered 65, on a narrow paved road.","A man driving a go kart, numbered 65, on a narrow paved road.",0
A woman in a red shirt looks at a map while with a view of a river and several boats in the background.,A girl is buying a cup of coffee.,0
A lady in a red shirt and bikini bottoms is about to go surfing on a blue board in the ocean.,A woman is surfing in her pool.,0
"A man is sitting on the floor, sleeping.",A young man is sleeping while in the sitting position.,0
A motorcyclist is flying through the air above a dirt path.,The person is sleeping.,0
"Two boys running down a outer hallway of an apartment building, with one running into frame with the other running ahead down the hall.",Two boys are moving at high speed.,0
"A man on a bicycle, wearing cycle gear, riding at a fast past down paved trail surrounded by tree's and grass.",The man is riding fast down a trail.,0
a man with a red headband climbing a rock cliff looming over greenery.,A man is outdoors.,1
Boy sitting looking through a glass window at a train station.,A little boy is walking out of the train.,0
Three men play musical instruments.,Three people with instruments.,1
"Two men in costumes with fake carrot noses, top hats, sunglasses and white fur coats that contain white electrical lights.",People in costumes,1
A woman in a black top and blue skirt is pushing a carriage or cart down a long empty tree-lined road.,A woman is outdoors,1
Men in hard hats work along a wall.,Guys are working near a wall.,0
A woman and little girl look into a display case.,A women is sitting alone on a couch with no other human around.,0
A boy in a yellow t-shirt and pink sweater talks on a cellphone while riding a horse through a crowd of people who are looking on.,A boy has a white t-shirt and pink sweater,0
"A girl in a purple top, baggy pants and sneakers is blowing a kiss, while another girl in black watches.",A girl blows a kiss as another girl sees it.,0
A schoolgirl is jumping over a low hurdle.,A girl is jumping over a hurdle.,1
Five children playing soccer chase after a ball.,There are ten total children playing.,1
A boy whiffs a ball with a bat.,The boy is swinging a bat.,0
A young female standing on the deck of a boat starring at her cellphone while riding on the water.,A girl checks her phone on a boat.,0
A young woman wearing a white sleeveless dress with red flowers is talking on her cellphone as she walks down a street.,A young woman wearing a white sleeveless dress lined with red flowers talking on her cellphone as she walks down the street sidewalk outside.,0
The small dog is running across the lawn.,A mammal is running through the yard.,1
"A man in a light brownish jacket, orange undershirt, blue jeans, and a black satchel, who has many sticks of cotton candy.",A naked man is picking apples.,0
A group of young adults are standing on a street in front of a brick wall with a tall wooden gate.,A group of friends watches a movie inside.,0
In this picture it appears that a man is falling off a bull while attempting to ride the animal.,the man is at home sleeping,0
A group of soldiers march in a parade.,A group of people march in a parade.,1
Men work on a city street.,The men are working,1
